==== START logs for container coredns of pod kube-system/coredns-6d4b75cb6d-hg62f ====
[INFO] plugin/ready: Still waiting on: "kubernetes"
.:53
[INFO] plugin/reload: Running configuration MD5 = db32ca3650231d74073ff4cf814959a7
CoreDNS-1.8.6
linux/amd64, go1.17.1, 13a9191
[INFO] Reloading
[INFO] plugin/health: Going into lameduck mode for 5s
[INFO] plugin/reload: Running configuration MD5 = bc01953dbef007fb87b1d2d15ca53ab8
[INFO] Reloading complete
[ERROR] plugin/errors: 2 security.ubuntu.com. A: read tcp 10.244.0.2:43178->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:46106->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:47164->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:47322->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:48436->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:49502->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:50396->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:53776->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:54834->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:56822->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.2:57154->172.18.0.1:53: i/o timeout
